region,power_station,monitored_capacity_MW,planned_maintanence_MW,forced_maintanence_MW,other_reasons_MW,gen_dt_program,gen_dt_actual,gen_dt_excess_shortfall,gen_dt_deviation
Northern,Delhi,2100.4,0.0,250.0,430.0,16.31,12.13,-4.18,-25.63
Northern,Haryana,2510.0,250.0,1960.0,0.0,29.48,5.58,-23.9,-81.07
Northern,Himachal Pradesh,777.0,0.0,0.0,115.0,7.01,6.15,-0.86,-12.27
Northern,Jammu and Kashmir,1285.0,0.0,0.0,360.0,9.57,12.81,3.24,33.86
Northern,Punjab,2701.0,33.5,1760.0,0.0,24.16,11.43,-12.73,-52.69
Northern,Rajasthan,8184.8,695.0,2039.0,690.0,99.57,78.27,-21.3,-21.39
Northern,Uttarakhand,1252.15,41.25,96.0,60.0,13.16,14.6,1.44,10.94
Northern,Uttar Pradesh,5970.6,514.0,1599.0,0.0,92.22,66.98,-25.24,-27.37
Northern,ADHPL,192.0,0.0,0.0,0.0,1.23,1.36,0.13,10.57
Northern,AHPC (GVK),330.0,0.0,0.0,0.0,3.39,6.12,2.73,80.53
Northern,APCPL,1500.0,0.0,500.0,0.0,10.78,14.22,3.44,31.91
Northern,APL,1320.0,0.0,0.0,0.0,20.26,27.41,7.15,35.29
Northern,BBMB,2920.3,273.0,0.0,388.0,23.32,37.09,13.77,59.05
Northern,BEPL,450.0,0.0,0.0,0.0,2.4,6.42,4.02,167.5
Northern,BIPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northern,DAE,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Northern,E.P.P.L.,100.0,0.0,50.0,0.0,0.65,1.13,0.48,73.85
Northern,GBHPPL,70.0,0.0,0.0,0.0,0.39,0.7,0.31,79.49
Northern,GIPL,225.0,0.0,0.0,0.0,1.0,0.0,-1.0,-100.0
Northern,GMR BHHPL,0.0,0.0,0.0,0.0,0.45,0.0,-0.45,-100.0
Northern,GPGSL (GVK),540.0,0.0,0.0,0.0,6.84,8.03,1.19,17.4
Northern,HBPCL,1300.0,0.0,0.0,0.0,7.55,14.24,6.69,88.61
Northern,HSPCL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northern,IAEPL,36.0,0.0,0.0,0.0,0.32,0.31,-0.01,-3.13
Northern,JhPL(HR),1320.0,0.0,0.0,0.0,18.42,22.46,4.04,21.93
Northern,JPPVL,400.0,0.0,0.0,0.0,3.81,6.97,3.16,82.94
Northern,LAPPL,1200.0,0.0,0.0,0.0,10.42,26.39,15.97,153.26
Northern,LPGCL,1980.0,0.0,660.0,0.0,26.06,28.82,2.76,10.59
Northern,L&T,0.0,0.0,0.0,0.0,0.29,0.0,-0.29,-100.0
Northern,MPCL,86.0,0.0,0.0,0.0,0.65,1.02,0.37,56.92
Northern,MUNPL,660.0,0.0,0.0,0.0,15.55,13.91,-1.64,-10.55
Northern,NHPC,4484.2,440.0,0.0,316.0,42.95,45.16,2.21,5.15
Northern,NLC,250.0,0.0,0.0,0.0,4.64,5.63,0.99,21.34
Northern,NPCIL,1520.0,0.0,200.0,0.0,26.24,30.16,3.92,14.94
Northern,NPL,1400.0,0.0,0.0,0.0,23.97,32.5,8.53,35.59
Northern,NTPC Ltd.,12614.06,910.0,2798.17,109.3,135.52,162.08,26.56,19.6
Northern,NTPGPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northern,PPGCL (Jaypee),1980.0,0.0,0.0,0.0,23.84,35.95,12.11,50.8
Northern,RPSCL,1200.0,0.0,300.0,0.0,17.88,16.37,-1.51,-8.45
Northern,RWPL (JSW),1080.0,0.0,135.0,0.0,19.67,21.54,1.87,9.51
Northern,SJVNL,1912.02,0.0,68.67,750.0,19.32,23.85,4.53,23.45
Northern,SrEPL,225.0,0.0,0.0,0.0,2.0,0.0,-2.0,-100.0
Northern,THDC,1400.0,0.0,0.0,0.0,9.29,9.23,-0.06,-0.65
Northern,TPDDL,108.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0
Northern,TSPL,1980.0,0.0,0.0,0.0,30.93,32.71,1.78,5.75
Northern,Total,69663.53,3156.75,12515.84,3326.3,801.51,839.73,38.22,4.77
Western,Chhatisgarh,3200.0,0.0,710.0,0.0,47.27,51.68,4.41,9.33
Western,Gujarat,9717.82,0.0,3049.62,480.0,85.79,117.99,32.2,37.53
Western,Madhya Pradesh,6115.0,675.0,2700.0,285.0,79.08,55.0,-24.08,-30.45
Western,Maharashtra,12988.0,250.0,2905.0,318.0,147.75,147.71,-0.04,-0.03
Western,ACB,325.0,0.0,160.0,0.0,4.99,3.88,-1.11,-22.24
Western,ACPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Western,AEML,500.0,0.0,0.0,0.0,11.42,10.29,-1.13,-9.89
Western,AMNEPL,246.0,0.0,246.0,0.0,0.0,0.0,0.0,0.0
Western,APL,7920.0,0.0,660.0,0.0,128.6,173.56,44.96,34.96
Western,BALCO,600.0,0.0,300.0,0.0,7.58,6.94,-0.64,-8.44
Western,BLAPPL,90.0,0.0,45.0,0.0,0.65,0.54,-0.11,-16.92
Western,CGPL,4000.0,0.0,800.0,0.0,70.26,79.91,9.65,13.73
Western,CLPINDIA,655.0,0.0,0.0,655.0,0.0,0.0,0.0,0.0
Western,DBPCL,1200.0,0.0,0.0,0.0,16.96,25.64,8.68,51.18
Western,DIPL,600.0,0.0,0.0,0.0,6.0,13.29,7.29,121.5
Western,DLHP,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Western,EPGL,1200.0,0.0,1200.0,0.0,8.97,0.0,-8.97,-100.0
Western,ESSAR,515.0,0.0,295.0,220.0,0.0,0.0,0.0,0.0
Western,ESSARPMPL,1200.0,0.0,600.0,0.0,12.9,9.89,-3.01,-23.33
Western,GCEL,1370.0,0.0,685.0,0.0,10.42,16.56,6.14,58.93
Western,GEPL,120.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0
Western,GIPCL,660.0,0.0,0.0,160.0,9.47,9.17,-0.3,-3.17
Western,GMR ENERG,600.0,0.0,0.0,0.0,10.52,13.83,3.31,31.46
Western,IEPL,270.0,0.0,270.0,0.0,0.0,0.0,0.0,0.0
Western,JHAPL,600.0,0.0,0.0,0.0,7.94,11.21,3.27,41.18
Western,JPL,3400.0,0.0,1700.0,0.0,23.26,31.36,8.1,34.82
Western,JPPVL,1820.0,0.0,250.0,0.0,18.61,29.09,10.48,56.31
Western,JSWEL,1200.0,0.0,0.0,0.0,19.9,25.24,5.34,26.83
Western,LANCO,600.0,0.0,0.0,0.0,9.22,13.2,3.98,43.17
Western,LVTPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Western,MBPMPL,1200.0,0.0,0.0,0.0,18.45,22.93,4.48,24.28
Western,MCCPL,300.0,0.0,0.0,0.0,5.55,7.19,1.64,29.55
Western,NHDC,1520.0,0.0,0.0,0.0,8.39,4.32,-4.07,-48.51
Western,NPCIL,1840.0,320.0,540.0,0.0,40.95,23.53,-17.42,-42.54
Western,NSPCL,500.0,0.0,0.0,0.0,9.16,10.84,1.68,18.34
